# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-07-27 17:10:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = .//input/input_trivial_v2.json
# init = .//input/init.json
# random
#   seed = 4028370519 (Default)
# output
#   file = .//output/output_trivial_v2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15
# Adaptation terminated
# Step size = 0.0512064
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-513.759,0.956136,0.0512064,5,31,0,523.307,0.761696,0.0678272,0.693628,1.54196,0.379625,0.728512,0.557062,2.58401,0.661664,1.33219,0.885911,0.937727,5.8928,0.889064,2.49666
-511.195,0.985336,0.0512064,6,63,0,521.843,0.20573,0.694887,0.641239,0.638459,0.582717,0.382824,1.69052,0.889443,1.72962,0.612918,1.07765,2.2939,1.32636,3.1829,1.16262
-506.055,0.961419,0.0512064,5,63,0,518.356,0.259983,0.622893,0.591553,0.777614,0.454369,0.567372,1.25002,1.51053,0.730539,1.46249,0.713604,2.58765,1.78714,0.808684,0.324851
-509.648,0.96184,0.0512064,6,63,0,512.253,0.582251,0.0935951,0.627225,1.89309,0.606705,0.978254,0.415453,0.768509,1.73099,1.95474,1.67751,0.53462,0.930329,3.15972,2.65187
-510.808,0.965598,0.0512064,6,63,0,515.999,0.40889,0.049519,0.383957,1.82818,0.409682,1.17339,0.488907,1.18371,2.30032,0.455431,1.81871,1.29985,1.43488,2.68112,1.51187
-509.433,0.966901,0.0512064,6,63,0,519.752,0.479307,1.03508,0.400413,0.182311,1.31683,0.646872,0.936816,2.32152,0.308434,1.99594,1.15099,1.6093,2.39691,0.544802,0.356157
-509.236,0.69823,0.0512064,6,63,0,516.28,0.192029,0.522571,0.494647,0.547906,0.582542,0.594073,0.94119,2.07119,0.512199,1.37186,1.02266,1.35902,3.28171,0.49206,0.278654
-513.125,0.808708,0.0512064,6,63,0,519.487,0.591918,0.541769,0.416285,0.333804,0.270198,1.02654,3.64258,0.683237,0.731158,0.47915,1.66788,4.53082,0.907003,0.946355,0.243644
-513.308,0.998919,0.0512064,6,63,0,520.133,0.302456,1.16743,0.267651,0.733564,0.427935,0.880244,0.965171,1.32131,0.826638,0.790175,1.14455,2.16756,2.66224,0.575326,2.85612
-507.738,0.996896,0.0512064,6,63,0,518.052,0.55719,0.469347,0.436369,0.392821,1.05173,0.485219,2.41543,0.781171,0.609836,1.95911,0.659544,4.1975,1.3614,0.609355,0.471731
-512.389,0.936719,0.0512064,6,63,0,517.442,1.84131,0.155075,0.555311,0.689294,0.226803,3.3832,0.549294,2.27945,0.463858,0.419288,5.45349,0.91032,2.11721,1.00296,0.762339
-510.798,0.952464,0.0512064,5,63,0,517.748,2.17474,0.163192,0.56557,0.620905,0.187808,3.45686,0.529215,2.3861,0.491523,0.48987,5.97618,0.850703,2.0479,1.01484,0.750753
-511.202,0.883471,0.0512064,6,63,0,519.792,0.129202,1.0505,0.208169,0.779669,1.55191,0.179714,2.426,1.17224,0.687488,1.81843,0.426549,4.43734,1.54258,0.989938,1.32922
-512.486,0.991126,0.0512064,6,63,0,517.594,1.11481,0.050094,0.372242,0.405388,0.383658,3.78472,0.444983,1.42893,0.627043,0.698775,5.17695,0.626124,2.08442,0.974007,4.74023
-511.331,0.584656,0.0512064,6,63,0,519.467,2.57114,0.169362,0.814454,0.37901,0.404111,1.17913,0.963372,1.6644,0.494163,1.36709,1.10807,1.49643,2.12097,0.736544,1.26898
-511.724,0.998537,0.0512064,6,63,0,518.599,3.89546,0.240864,0.725863,0.707388,0.404229,0.760484,1.52735,1.80861,0.601379,0.530051,2.00026,2.14271,2.54953,0.719383,1.46832
-507.689,1,0.0512064,6,63,0,514.37,0.964495,0.113849,0.507401,0.321939,0.726147,1.55734,0.704933,1.53018,0.43809,1.53215,1.46629,1.98565,1.58807,0.545251,0.88443
-510.858,0.852262,0.0512064,6,63,0,517.771,2.38124,0.332932,0.588108,0.502541,0.3876,0.917945,1.64579,1.70435,0.294264,0.988144,2.10631,1.78246,3.05781,0.326825,3.57215
-506.382,0.957615,0.0512064,6,63,0,514.069,0.102463,0.345144,0.527792,0.786941,0.894807,0.54421,1.23628,0.954254,0.638889,2.29714,1.03379,1.9022,1.2474,0.725687,0.591561
-507.089,0.951127,0.0512064,6,63,0,512.861,2.11816,0.280326,0.261622,0.816902,0.364634,1.38873,1.04526,1.06317,0.975856,0.651203,2.04427,2.47742,1.03046,1.1139,1.17413
-506.802,0.986695,0.0512064,6,63,0,517.113,0.16001,0.314387,0.494354,0.517995,0.595046,0.61359,1.26592,1.39019,0.498561,2.27574,0.657413,2.12961,1.77741,0.773697,0.625218
-511.138,0.960775,0.0512064,6,63,0,518.512,0.0651799,0.25927,0.421291,0.757425,0.991523,0.419324,1.22237,0.82031,1.25939,1.23778,1.09086,2.67119,0.788082,1.25945,0.954935
-508.95,0.820675,0.0512064,6,63,0,516.884,3.16098,0.221267,0.422468,0.557371,0.462554,1.81079,0.681388,1.62109,0.84787,0.609576,2.75153,0.940337,2.22162,1.33656,1.5341
-513.608,0.786433,0.0512064,6,63,0,519.306,0.125031,0.269603,0.705947,0.191209,0.591382,2.3154,1.08553,1.3301,0.265288,1.18152,3.50498,1.69777,2.12854,0.415283,11.7463
-509.597,0.983066,0.0512064,6,63,0,521.493,0.414274,0.239192,0.263235,1.14489,1.31843,0.465115,0.500871,1.55197,1.11213,2.35114,0.67026,0.920296,1.59749,1.31856,0.416092
-512.538,0.89259,0.0512064,6,63,0,519.613,1.51257,0.0653462,0.674126,0.583618,0.991236,1.05864,0.726303,0.820662,0.796294,2.61211,1.96126,0.875983,1.01832,0.854266,2.68157
-506.438,0.992385,0.0512064,6,63,0,518.869,0.823313,0.106687,0.318964,1.00975,0.924493,0.749951,0.684907,1.19643,1.23281,1.28377,0.996504,1.40052,1.39156,1.9589,0.853855
-505.836,0.973392,0.0512064,6,63,0,510.2,0.276739,0.312316,0.270193,0.656037,0.752951,2.03089,0.526289,0.838888,0.705087,1.5293,2.3387,1.13173,1.34307,0.911749,0.84486
-506.173,0.941822,0.0512064,6,63,0,509.525,0.720315,0.329124,0.670478,0.67935,0.475064,0.43855,2.69119,1.01782,0.843873,0.8656,0.770593,4.15243,1.62049,1.19932,0.553933
-506.482,0.962744,0.0512064,6,63,0,511.441,0.255205,0.495934,0.312027,1.09664,0.339016,0.46336,2.68497,1.18615,0.706999,1.02278,0.597062,5.45429,1.29994,1.16698,0.797961
