# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-07-27 17:14:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = .//input/input_trivial_v3.json
# init = .//input/init.json
# random
#   seed = 4028571590 (Default)
# output
#   file = .//output/output_trivial_v3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15
# Adaptation terminated
# Step size = 0.0422102
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-975.604,0.837339,0.0422102,6,63,0,980.573,0.343708,0.486507,12.7028,2.65416,0.414414,2.98956,1.56383,0.530754,1.24255,0.312262,1.41229,2.27161,1.86882,2.55395,4.12933
-974.711,0.948555,0.0422102,5,31,0,980.644,0.401171,0.608654,5.12048,1.97201,0.84597,4.39924,1.30979,0.448239,0.675374,0.652374,1.15703,1.07216,2.74754,2.78154,3.04213
-974.007,0.77435,0.0422102,6,63,0,979.765,0.324908,0.603973,3.99526,2.74591,0.984667,4.08986,1.23893,0.302182,0.839988,0.686463,2.35298,1.60503,0.803951,2.90467,7.25073
-980.68,0.579514,0.0422102,7,127,0,987.877,0.177111,0.732504,5.3294,1.26247,3.5922,1.58308,1.59672,0.254789,0.474288,2.93429,0.568726,1.21108,1.42434,1.14433,2.0211
-983.133,0.972795,0.0422102,6,63,0,986.524,0.208273,0.704681,5.35089,1.44709,2.80157,1.48908,1.72067,0.303887,0.442278,2.30936,0.563488,1.12259,1.41255,2.14864,2.08957
-974.229,0.995099,0.0422102,6,127,0,987.089,0.840948,0.815655,4.06929,1.10533,0.886739,7.4558,1.78255,0.265407,0.594698,0.377793,3.04977,2.49724,1.15197,1.52837,5.70978
-976.885,0.943446,0.0422102,6,127,0,986.195,0.308687,1.82379,3.26908,1.09814,0.975165,3.55668,4.0683,0.219902,0.260018,1.39096,2.42975,1.6811,1.13317,0.706726,0.375565
-980.264,0.833342,0.0422102,6,63,0,984.928,0.547424,1.51233,7.75277,0.616575,0.466681,7.48657,3.86525,0.414253,0.202183,0.505711,2.08539,6.44229,0.755589,0.942459,0.712553
-975.549,0.986332,0.0422102,6,127,0,988.391,0.298882,1.25897,4.50725,0.873717,1.72626,2.46611,4.16558,0.227569,0.3974,0.701802,1.1177,5.4967,1.16062,0.947001,0.222851
-972.511,0.836339,0.0422102,6,63,0,978.992,0.335991,0.563547,4.29736,1.55975,1.82009,3.26669,1.61447,0.222561,0.552772,2.28624,1.33948,1.41778,0.698058,2.01849,1.30727
-977.492,0.961921,0.0422102,5,47,0,983.166,0.165425,0.742212,1.57615,2.3728,5.03509,1.46601,1.82797,0.120713,0.982819,2.20007,0.732399,1.45028,1.24716,2.08925,1.99392
-977.335,0.996428,0.0422102,7,127,0,985.392,0.702354,0.536578,5.59802,0.612202,1.89645,5.77695,1.59347,0.322445,0.177724,2.67506,1.92536,1.16025,1.56972,0.779136,0.189057
-980.437,0.830992,0.0422102,5,31,0,985.953,0.4072,0.63973,4.42913,0.460144,3.20193,4.9757,1.82621,0.328245,0.163577,1.41768,3.06754,1.05982,3.31394,0.327312,0.152399
-980.638,0.820144,0.0422102,7,127,0,993.861,0.505158,1.2807,8.74411,1.08473,0.435054,4.39815,2.62869,0.49791,0.448643,0.567339,1.87297,1.76008,2.22073,1.66451,19.399
-975.623,0.964151,0.0422102,6,63,0,986.902,0.439396,0.819489,2.29518,1.65673,1.44898,5.63126,2.07116,0.113891,0.442139,1.93632,2.36178,2.15079,0.339217,1.49876,4.29932
-975.594,0.784796,0.0422102,6,63,0,981.824,0.18359,0.520603,10.1629,1.58738,1.24838,1.85438,1.80726,0.545042,0.909578,0.60967,0.611407,2.11908,2.99155,2.63404,0.993827
-972.751,0.956291,0.0422102,4,31,0,980.338,0.187871,0.664967,9.85392,2.24844,1.03808,1.53376,1.9003,0.5264,0.769467,0.747688,0.585289,1.81825,3.24164,2.1212,1.13144
-975.831,0.992213,0.0422102,6,127,0,980.084,0.545736,0.661615,4.10955,0.444384,2.59346,8.0024,1.48156,0.300086,0.193982,1.40334,3.2397,1.3029,1.3604,0.626044,4.82534
-974.218,0.927648,0.0422102,6,63,0,983.136,0.198158,0.591947,7.30347,1.25759,2.0487,1.47528,2.23526,0.469738,0.444797,1.64535,0.716183,1.29958,2.85428,1.21592,1.95665
-972.493,0.993176,0.0422102,7,127,0,978.949,0.473882,0.732243,2.30903,3.1631,0.83212,5.74641,1.81772,0.117394,1.02687,0.73948,2.55541,2.05948,0.59506,2.31139,1.23331
-971.039,0.720989,0.0422102,7,127,0,978.293,0.235533,0.567534,8.5951,1.08362,1.72641,2.19134,1.40693,0.62265,0.3693,1.50058,0.73816,1.45258,3.07224,1.05564,0.704873
-975.723,0.762621,0.0422102,7,127,0,978.55,0.219504,0.748591,10.482,1.36938,0.736287,2.79982,1.74101,0.479286,0.805667,0.40944,1.47595,2.16645,1.30435,2.50114,1.61348
-972.987,0.884585,0.0422102,7,127,0,981.398,0.201165,0.728819,4.58654,2.73192,1.02544,1.95973,1.99696,0.336085,0.932628,1.00219,0.535536,2.31013,1.85653,1.89455,0.855696
