# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-07-27 17:20:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = .//input/input_trivial_v4.json
# init = .//input/init.json
# random
#   seed = 4028952409 (Default)
# output
#   file = .//output/output_trivial_v4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15
# Adaptation terminated
# Step size = 0.0367888
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-1214.8,0.975816,0.0367888,6,127,0,1228.04,1.06504,0.85131,0.533926,0.984054,2.38628,2.1809,3.96511,1.67705,0.936484,2.331,0.45942,1.84217,0.698979,0.756621,0.124853
-1215.06,0.771662,0.0367888,7,127,0,1221.69,1.72107,0.295767,0.739981,1.05515,2.72632,3.27028,1.42228,2.19233,1.33661,2.4943,0.725671,0.746875,0.534678,1.63081,0.145275
-1216.04,0.656817,0.0367888,7,127,0,1225.15,1.00854,1.24372,0.907412,1.03087,0.853286,2.99654,4.16968,3.23489,1.06674,0.831426,0.664983,1.90891,0.796903,1.09348,6.95569
-1221.99,0.918693,0.0367888,7,127,0,1227.73,0.730312,0.616856,0.635535,1.24912,2.07747,3.20853,1.26165,2.38875,1.18783,2.09112,0.929604,0.52994,0.504385,1.60332,0.148331
-1218.92,0.997261,0.0367888,6,95,0,1227.5,1.06661,2.07421,0.605459,0.762483,0.935572,3.41458,5.13064,2.36326,0.899715,0.701062,1.43618,1.41384,0.958121,1.02394,2.0191
-1215.89,0.788532,0.0367888,6,79,0,1228.36,0.337776,0.386683,0.883235,1.68416,5.1967,0.894704,1.38459,2.75724,2.09859,4.30475,0.262542,0.575262,0.786566,2.14622,1.27388
-1214.75,0.667469,0.0367888,6,127,0,1225.3,1.07282,0.953793,0.706879,1.05919,0.998859,3.67559,3.72459,2.21899,1.0436,0.965581,0.97246,1.58507,0.502186,2.01461,4.63517
-1215.35,0.913517,0.0367888,5,31,0,1221.39,1.26761,1.02574,0.697523,1.35047,1.07896,2.42534,3.89757,2.04208,1.48949,1.19173,0.512978,1.75834,0.872501,0.766342,8.20998
-1215.53,0.873766,0.0367888,5,63,0,1222.18,1.19849,0.991425,1.18681,1.1366,0.632767,4.17074,2.37051,3.26699,1.33714,0.673373,0.872667,1.28791,0.646249,2.13067,1.25048
-1217.4,0.797937,0.0367888,6,95,0,1227.51,3.29657,0.448922,0.945024,1.48023,0.682433,5.35086,2.80088,1.72414,1.65721,0.831171,1.20025,1.12619,0.576854,1.26319,0.313127
-1217.85,0.936766,0.0367888,4,31,0,1226.41,1.90542,0.798669,0.601762,1.38078,0.775651,5.43522,2.20161,2.88071,1.29396,0.596387,1.83689,0.96151,0.644124,2.04931,0.17028
-1220.88,0.800887,0.0367888,5,31,0,1227.39,1.93882,0.761173,0.772355,1.6191,0.377724,7.95675,2.38522,1.99869,1.93791,0.467934,2.23757,0.838412,0.781893,1.17912,0.138165
-1215.96,0.903486,0.0367888,5,31,0,1224.11,4.15276,0.479911,0.932259,1.07261,0.77651,5.95756,2.06261,2.99977,1.14174,0.714053,1.50998,1.22102,0.623958,1.66513,0.231819
-1215.17,0.979297,0.0367888,7,127,0,1223.46,0.477889,0.897497,0.884778,1.6032,1.69664,0.950639,3.38591,3.92219,1.67311,1.41425,0.227058,1.61208,1.25844,1.83983,3.48697
-1215.58,0.999461,0.0367888,6,63,0,1223.48,0.599763,1.40503,1.88084,1.17265,0.532802,1.45469,5.42562,5.33523,1.37925,0.427945,0.430668,2.31913,1.60873,1.79278,7.90934
-1222.41,0.987321,0.0367888,5,31,0,1224.81,0.652919,0.846955,3.14728,1.75673,0.366865,1.15371,4.84497,7.59246,1.68917,0.455064,0.202236,4.13167,1.26066,2.763,8.00592
-1223.67,0.637686,0.0367888,5,31,0,1227.93,0.633167,0.901891,3.14032,1.76557,0.36453,1.31471,4.87705,7.65204,1.81284,0.428234,0.204279,3.81928,1.26689,2.77021,7.74154
-1223.15,0.96206,0.0367888,7,127,0,1232.77,2.06276,0.643164,1.21361,0.522763,1.6147,2.42039,3.6323,2.68201,0.759312,1.63713,0.492773,2.10613,0.556051,1.66493,0.0978247
