# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-06-14 03:02:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./model_kmer_sim/input_trivial_v1.json
# init = ./model_kmer_sim/init.json
# random
#   seed = 262282238 (Default)
# output
#   file = ./model_kmer_sim/output_trivial_v1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,SEG.1,SEG.2,SEG.3,SEG.4,SEG.5,SEG.6,SEG.7,SEG.8,SEG.9,SEG.10,SEG.11,SEG.12,SEG.13,SEG.14,SEG.15
# Adaptation terminated
# Step size = 0.0496166
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-543.353,0.76238,0.0496166,3,7,0,547.01,1.13859,0.980626,0.990444,1.08492,0.808212,1.19051,1.23965,0.950649,0.930361,0.929881,1.02001,1.17256,0.847092,0.974922,0.843161
-538.675,1,0.0496166,3,7,0,549.739,1.12057,1.08408,1.04861,0.856431,0.961665,1.02421,0.974856,1.07866,0.784523,1.03014,1.06905,0.891418,1.03023,1.02843,0.999573
-542.428,0.832798,0.0496166,3,7,0,546.071,0.953206,0.888215,0.899939,1.27575,0.95915,0.90056,0.942305,0.919352,1.1563,0.834076,0.912595,1.1215,0.86871,0.924234,1.07849
-538.53,0.980342,0.0496166,3,7,0,547.045,0.934679,1.08474,1.15884,0.849585,0.962081,0.91073,1.08119,1.0663,0.80679,1.0956,0.997509,0.956131,0.915555,0.967436,1.04973
-537.347,0.816633,0.0496166,3,7,0,544.953,1.02958,0.950757,0.979789,1.03924,1.01426,1.08005,1.13713,1.04246,0.876851,0.902955,1.06853,1.21726,0.918664,0.973376,0.931319
-535.304,0.986404,0.0496166,3,7,0,542.051,1.006,0.92023,0.952567,0.98081,0.957026,1.01989,0.951492,1.15186,0.98524,0.815618,1.04383,0.997326,0.951975,1.06566,0.933
-543.451,0.705169,0.0496166,3,7,0,546.79,1.06488,0.99501,1.01115,1.031,1.27947,0.940805,0.958794,0.948223,1.02675,1.27196,0.810382,0.945781,0.923203,1.05555,1.13378
-541.943,0.790408,0.0496166,3,7,0,549.526,0.961084,1.00751,1.04721,1.15344,0.914129,1.12434,1.04356,1.18788,0.942647,0.804032,1.15705,1.07416,0.963773,0.938736,0.848447
-545.72,0.875232,0.0496166,3,7,0,553.579,0.976924,0.994327,0.976312,0.936552,1.24948,0.972755,1.03766,1.03146,1.08456,1.20079,0.787966,0.872757,0.868314,1.08879,1.21195
-548.014,0.610788,0.0496166,3,7,0,563.933,1.34061,0.83457,0.933334,1.18983,0.96069,0.898941,0.923499,1.03557,0.781632,0.894796,1.17433,0.990785,0.904774,1.06653,0.924322
-543.579,0.978546,0.0496166,3,7,0,556.75,0.925669,1.1031,1.04509,0.878371,0.990073,0.957222,1.12354,1.1007,1.23387,0.89017,0.807769,0.967572,1.12357,1.0652,0.996713
-533.334,0.99152,0.0496166,3,7,0,546.317,1.06573,0.991645,1.08311,1.06772,0.966436,0.948535,0.97408,0.985361,1.01508,0.938591,0.997222,0.928969,0.972153,0.888332,0.979372
-535.759,0.735824,0.0496166,3,7,0,540.874,0.940695,0.997779,0.932838,0.986652,0.968878,1.01052,0.950896,1.09255,0.934812,0.992922,1.00081,1.07811,0.879277,1.20639,1.04279
-536.29,0.874545,0.0496166,3,7,0,544.219,1.08284,0.945293,1.02198,1.04857,0.945772,0.922795,1.02857,0.995822,1.06087,1.03727,1.05816,0.950416,1.07262,0.829151,0.955001
-540.266,0.96057,0.0496166,3,7,0,544.504,0.994927,1.1029,0.958703,0.968643,0.932154,1.12074,1.058,1.17647,0.836842,0.840091,1.00557,1.09862,0.980093,1.06012,1.26891
-537.398,0.897024,0.0496166,3,7,0,547.015,1.03166,0.912524,1.08309,1.11516,1.12881,0.890709,0.985632,0.986041,1.01632,1.06768,0.900712,0.894073,0.859918,0.964147,0.876207
-539.074,0.897852,0.0496166,3,7,0,545.519,0.991865,1.06535,0.96063,1.03087,0.970707,1.16863,1.03222,1.03745,0.81769,0.835496,1.01568,1.03736,1.06217,1.00602,1.1281
-536.498,0.999086,0.0496166,3,7,0,544.776,1.09922,0.932548,1.0017,1.101,0.85169,1.03785,1.07745,1.0143,0.964722,0.861528,1.02936,1.14989,0.882223,1.04161,1.13858
-539.768,0.450504,0.0496166,3,15,0,547.82,0.954452,1.08844,1.0041,0.983179,1.05245,1.02666,0.947109,0.964031,0.986352,0.950201,0.792199,0.899382,1.0912,0.946266,1.01792
