# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-06-14 03:23:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./model_kmer_sim/input_trivial_v41.json
# init = ./model_kmer_sim/init.json
# random
#   seed = 263510198 (Default)
# output
#   file = ./model_kmer_sim/output_trivial_v41.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,SEG.1,SEG.2,SEG.3,SEG.4,SEG.5,SEG.6,SEG.7,SEG.8,SEG.9,SEG.10,SEG.11,SEG.12,SEG.13,SEG.14,SEG.15
# Adaptation terminated
# Step size = 0.192336
# Diagonal elements of inverse mass matrix:
# 0.044011, 0.0437824, 0.0400053, 0.0398561, 0.0435232, 0.0309471, 0.0328508, 0.0329862, 0.0364262, 0.0419162, 0.0400257, 0.0420398, 0.0504084, 0.050294, 0.0872161
-918.994,0.865333,0.192336,4,31,0,930.813,1.02608,0.926392,0.882322,0.724532,1.32805,2.0361,1.79155,2.07295,0.857806,1.14077,1.2021,0.733496,0.915874,0.943115,1.33856
-918.265,0.994418,0.192336,5,31,0,922.042,1.1833,0.938119,0.961309,0.941723,1.26361,1.95069,1.61453,1.98978,0.935468,1.12525,1.19349,0.802112,0.626565,1.06551,1.01814
-924.662,0.720659,0.192336,5,31,0,931.72,1.18053,0.715431,1.02087,1.45997,1.04378,1.42388,1.52564,1.69665,1.72315,1.29282,0.767733,0.45343,1.22479,0.797053,0.970324
-923.124,0.985303,0.192336,4,15,0,931.675,0.634161,0.75681,0.694251,1.30183,2.00549,1.48773,1.52001,1.93056,1.18417,1.45107,0.755555,0.805421,0.738789,1.16667,0.932508
-921.071,0.989266,0.192336,4,15,0,928.619,1.29418,0.843538,0.864671,1.46117,1.37966,1.46079,1.63331,1.66468,1.18959,1.70176,0.74333,0.702667,0.737241,1.05584,1.27375
-923.504,0.692211,0.192336,4,15,0,931.568,1.18472,0.799697,0.59649,1.79426,1.05121,1.50308,1.75846,1.64036,1.33838,1.56784,0.668988,0.630622,0.705098,1.16913,1.20842
-924.381,0.869394,0.192336,4,31,0,932.496,1.165,0.828786,0.585283,1.74252,1.05839,1.37646,1.78499,1.66975,1.31146,1.62851,0.697895,0.671957,0.727401,1.18837,1.32011
-922.341,0.923632,0.192336,4,31,0,934.143,1.04678,0.86175,0.864866,0.741667,1.64154,2.31275,1.81787,1.345,1.07151,1.09691,1.12594,0.711324,0.903415,0.855095,1.18257
-921.219,0.900078,0.192336,5,31,0,929.57,0.973932,0.666262,0.764427,1.6394,1.25487,1.32964,1.71844,2.26955,1.1378,1.47792,0.775572,0.794773,0.926715,0.722249,0.73711
-919.384,0.997524,0.192336,4,15,0,926.441,0.933988,0.658604,0.745175,1.48693,1.33203,1.48798,1.5951,2.04595,1.14016,1.31986,0.710253,0.840493,0.907233,0.664518,0.730386
-920.945,0.852278,0.192336,5,31,0,926.899,1.09974,0.84276,1.16984,0.827677,1.16756,1.83061,1.99365,2.2548,1.06316,1.02477,1.06102,0.595679,0.894288,1.11868,1.36896
-922.94,0.97934,0.192336,4,15,0,931.658,0.969327,0.640768,0.564909,1.40893,1.41618,1.86037,1.47069,1.89393,1.12747,1.13446,0.966602,0.810359,0.977598,0.622318,0.90825
-921.032,0.986186,0.192336,4,31,0,929.525,0.999317,0.779555,0.526534,1.42832,1.45593,1.69072,1.78946,1.83361,1.10777,1.18951,0.934487,0.85525,1.01373,0.655606,1.20713
-922.627,0.918274,0.192336,4,15,0,929.456,1.40556,1.06911,1.03563,1.36368,0.863747,1.83877,1.73696,1.82849,1.27197,1.19106,0.872522,0.821344,0.802336,0.768946,1.30306
-918.218,0.995473,0.192336,4,15,0,929.919,0.850791,0.778997,1.24663,1.12589,1.15862,1.42081,1.99151,2.3146,1.05085,0.877389,1.00721,0.821267,1.17598,1.07582,0.961402
-916.854,0.977565,0.192336,5,31,0,923.968,1.04506,0.721105,0.705902,1.26073,1.38534,1.72009,1.74714,1.41175,1.15708,1.39318,0.995258,0.921619,0.65582,0.75766,1.11466
-916.705,0.982516,0.192336,4,31,0,925.738,0.878027,1.04629,0.690842,1.51491,1.08627,1.37241,2.22678,1.72273,1.53231,0.926864,0.803733,0.893728,0.733285,1.21736,1.2229
-915.533,0.961248,0.192336,4,31,0,920.939,0.905175,0.871509,0.836119,1.17238,0.997583,1.72534,2.25076,1.5766,1.28126,1.02269,0.903447,0.933115,0.796945,0.939944,0.923762
-915.194,0.996937,0.192336,5,31,0,918.016,0.841865,0.724555,0.970529,1.20823,1.29838,1.66958,1.60273,1.86686,1.24428,1.2906,0.827485,0.779504,0.881013,0.840645,0.724654
-920.939,0.904766,0.192336,4,15,0,924.123,1.27985,0.964846,0.758337,1.22729,1.06928,1.87001,1.61427,2.31318,1.13508,1.02547,1.14725,0.527156,1.28842,1.03061,0.596526
-921.7,0.932853,0.192336,5,31,0,930.137,1.29042,1.25815,0.521575,1.10136,1.38436,1.41516,2.36342,1.45016,1.21506,1.18979,0.775792,1.02383,0.833204,0.9254,0.563765
-920.423,0.812096,0.192336,4,15,0,931.042,1.20231,0.899864,0.693254,1.15511,1.16686,1.45699,2.61497,1.66648,0.999429,1.39013,0.771811,0.792233,1.06828,1.14272,0.693792
-918.546,0.451767,0.192336,4,15,0,935.326,0.789978,0.912277,1.025,0.985264,1.40414,1.48416,1.86623,1.80055,1.30278,0.93559,0.839483,1.05167,0.758372,0.767146,0.871718
-921.935,0.645004,0.192336,4,15,0,928.238,0.794248,0.955177,0.976009,0.89288,1.33625,1.43856,1.8455,1.68932,1.5291,0.950531,0.904907,0.980311,0.710959,0.808005,0.784952
-918.454,0.902069,0.192336,4,15,0,925.723,0.917503,1.08294,0.916342,1.02551,1.48289,1.51365,1.80219,1.85652,1.39644,1.03538,0.91105,0.937851,0.810929,0.860407,0.817604
-923.374,0.973467,0.192336,4,15,0,926.574,0.829021,0.753811,0.976105,1.54668,1.21629,1.44564,1.79003,1.95616,1.13526,1.3697,0.827368,0.528912,1.38643,1.22793,1.72173
-920.775,0.906852,0.192336,4,15,0,931.597,1.31364,0.620581,1.03059,1.01145,1.67544,1.83236,1.29489,2.10203,1.19224,1.39558,0.98533,0.617157,0.752495,0.877486,0.980797
-918.366,0.974226,0.192336,4,31,0,927.317,0.914942,1.17398,0.626909,1.34864,1.1077,1.83918,2.44879,1.30851,1.15754,1.0541,1.02602,1.01185,0.842719,0.981953,1.43364
-917.135,0.9857,0.192336,4,31,0,922.269,1.29004,0.92446,1.02264,1.02854,1.20402,1.51222,1.92709,1.94875,1.23754,0.914481,1.03593,0.693981,0.896535,1.09133,0.979806
-919.246,0.960639,0.192336,4,15,0,925.518,0.990185,0.844365,1.09805,1.08044,0.813658,2.06106,2.059,1.72352,1.19794,0.842766,1.06383,1.07794,0.737489,1.17001,0.76628
-919.37,0.788707,0.192336,4,15,0,927.632,1.49292,0.794928,0.837992,1.05801,1.35437,1.44661,1.88572,1.97914,1.16214,0.98625,1.12911,0.848968,0.79291,1.23757,1.06791
-919.1,0.988134,0.192336,5,31,0,926.507,1.01069,0.893124,0.747524,1.22774,1.54074,1.29583,2.27371,1.57114,1.1573,1.0142,1.06799,0.831292,1.02346,0.664957,0.827808
-918.655,0.705717,0.192336,4,15,0,925.241,1.02363,0.983764,0.674303,1.0822,1.19459,1.55316,2.02305,1.51467,1.40309,1.06206,0.8789,0.843001,0.799356,0.88725,0.862438
-921.056,0.914475,0.192336,4,15,0,926.186,0.825734,0.882349,1.01439,0.884948,1.54428,1.42656,2.15082,2.02373,0.900383,1.41841,0.915091,0.949308,0.849669,1.00552,1.89612
-918.493,0.997852,0.192336,5,31,0,923.119,0.999031,0.763119,0.702257,1.54637,1.1495,1.52689,2.0456,1.70722,1.43461,1.11039,0.895313,0.766453,0.987847,0.879668,0.588975
-921.682,0.952702,0.192336,4,31,0,928.865,0.840385,0.831007,0.673938,1.27909,1.92096,1.14002,1.75102,1.29172,1.81671,1.30795,0.699094,1.01108,0.675088,1.07063,1.01394
-917.263,0.986888,0.192336,5,31,0,926.732,1.02416,0.68418,0.706302,1.85009,1.09812,1.64541,1.63924,1.52325,1.56911,1.15624,0.898458,0.676393,0.698126,1.23159,0.985874
-920.435,0.736986,0.192336,5,31,0,925.138,0.769166,1.01444,0.691415,1.36612,1.27101,1.37438,2.12124,1.39665,1.72036,0.831631,0.84546,0.809541,0.809177,1.00439,0.982479
-918.507,0.993787,0.192336,5,31,0,924.484,0.865116,0.871958,1.03782,1.02262,1.2522,1.61013,1.68977,1.97476,1.23913,1.04433,1.13495,0.676654,1.36623,0.759129,1.08591
