# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-06-14 03:35:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./model_kmer_sim/input_trivial_v32.json
# init = ./model_kmer_sim/init.json
# random
#   seed = 264263438 (Default)
# output
#   file = ./model_kmer_sim/output_trivial_v32.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,SEG.1,SEG.2,SEG.3,SEG.4,SEG.5,SEG.6,SEG.7,SEG.8,SEG.9,SEG.10,SEG.11,SEG.12,SEG.13,SEG.14,SEG.15
# Adaptation terminated
# Step size = 0.0233673
# Diagonal elements of inverse mass matrix:
# 0.0202527, 0.0281096, 0.0227927, 0.0258777, 0.0372263, 0.0201959, 0.0275456, 0.0225233, 0.0259972, 0.0370759, 0.0198086, 0.0281489, 0.0226974, 0.0266913, 0.0996633
-98623.5,0.712286,0.0233673,6,127,0,98629.6,1.16417,1.17332,1.136,1.34689,1.24643,1.28468,1.26006,1.2135,1.47159,1.2849,1.41708,1.28185,1.26836,1.52389,0.866471
-98624.5,0.999124,0.0233673,5,63,0,98628.4,1.15549,1.10954,1.12222,1.43748,1.1901,1.31998,1.23817,1.2115,1.46185,1.31575,1.39401,1.30908,1.28162,1.49145,0.809868
-98625.4,0.970731,0.0233673,8,255,0,98628.5,1.10117,1.1237,1.59651,1.05381,1.24599,1.23107,1.20159,1.69793,1.10327,1.37211,1.30813,1.30702,1.76012,1.1118,1.12044
-98624.5,0.995117,0.0233673,8,255,0,98633,1.07441,1.38611,1.32575,1.02503,1.28879,1.17719,1.52674,1.4567,1.0418,1.37385,1.23671,1.62486,1.53196,1.10942,0.838408
-98627.5,0.966409,0.0233673,7,255,0,98632.5,1.12604,1.63674,1.39278,0.898355,1.15565,1.19945,1.77789,1.55085,0.909598,1.23666,1.30479,1.88392,1.592,0.944719,0.938198
-98625.6,0.84737,0.0233673,4,31,0,98635.9,1.07987,1.64173,1.4208,0.872666,1.18049,1.20375,1.777,1.53937,0.928237,1.21786,1.31302,1.8526,1.59369,0.970817,0.960553
-98623.4,0.997285,0.0233673,8,255,0,98629.6,1.05409,1.30464,1.28702,0.904122,1.59773,1.17295,1.38973,1.41266,0.929561,1.75856,1.27411,1.44296,1.48218,0.971435,0.971745
-98625.3,0.958394,0.0233673,8,255,0,98636.2,1.52805,1.09968,1.14251,0.839506,1.63678,1.65202,1.22371,1.21036,0.888755,1.73443,1.74773,1.27165,1.28875,0.929308,0.799531
-98625.1,0.96615,0.0233673,4,31,0,98630,1.5008,1.10866,1.12185,0.861092,1.61481,1.64964,1.20658,1.23382,0.88074,1.73392,1.7711,1.28167,1.24676,0.931346,0.828759
-98627.6,0.98648,0.0233673,7,127,0,98633.6,1.58516,1.02489,1.15475,0.777451,1.73496,1.81129,1.08304,1.25878,0.824205,1.87465,1.91787,1.1212,1.33737,0.863913,1.74192
