# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-06-14 03:19:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./model_kmer_sim/input_trivial_v21.json
# init = ./model_kmer_sim/init.json
# random
#   seed = 263315374 (Default)
# output
#   file = ./model_kmer_sim/output_trivial_v21.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,SEG.1,SEG.2,SEG.3,SEG.4,SEG.5,SEG.6,SEG.7,SEG.8,SEG.9,SEG.10,SEG.11,SEG.12,SEG.13,SEG.14,SEG.15
# Adaptation terminated
# Step size = 0.0489875
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-524.254,0.997977,0.0489875,4,15,0,533.111,0.789393,0.736492,0.537484,0.793944,0.391017,0.911383,1.52968,0.849139,1.20068,0.597875,1.46375,2.78882,1.19137,1.72368,0.961549
-519.822,0.563999,0.0489875,4,15,0,536.983,1.04817,0.478556,0.568629,0.930299,0.620505,0.87565,0.685805,0.995765,1.01894,1.60908,1.28481,0.883046,1.5422,1.2553,1.50424
-519.305,0.984532,0.0489875,4,15,0,525.375,0.738099,0.444398,0.576843,0.866903,0.572532,1.03816,0.778964,0.948898,1.17367,1.57471,1.16357,1.23748,1.34736,1.1622,1.68273
-519.16,0.949805,0.0489875,4,31,0,529.062,0.689329,0.516921,0.857755,0.673947,0.478749,0.752426,1.52104,0.906652,0.895907,0.99524,1.2209,2.06846,1.38943,1.10706,1.43386
-518.523,0.999688,0.0489875,5,31,0,524.41,0.870269,0.533709,0.700083,0.912248,0.462871,0.734092,1.24514,0.848702,1.14203,1.03695,1.23644,2.07186,1.05237,1.55739,1.52339
-520.069,0.949443,0.0489875,4,31,0,531.066,0.929562,0.668142,0.422205,0.780617,0.482962,1.08036,0.596653,1.41812,0.907637,1.33838,1.40153,0.919973,2.0094,1.28661,1.24965
-522.023,0.918917,0.0489875,5,31,0,528.51,1.15879,0.601928,0.582483,1.15191,0.460543,1.07561,0.740606,0.899466,1.07385,1.04862,2.03641,1.1739,1.22697,1.10057,1.40963
-523.187,0.958408,0.0489875,5,31,0,531.775,0.394033,0.35714,0.769807,0.489677,0.705002,0.852608,0.751981,1.23186,0.881813,1.42638,1.29968,1.21763,1.34558,1.56356,1.72043
-521.252,0.909316,0.0489875,4,15,0,530.852,1.06339,0.607926,0.531425,1.04519,0.824059,0.546284,0.696607,1.31579,1.23078,1.11136,1.22794,1.18598,1.75918,1.36186,0.819114
-521.095,0.591924,0.0489875,4,15,0,533.315,0.536634,0.547992,0.698992,0.715234,0.485819,0.829145,0.927806,1.30832,0.939795,0.979069,1.17023,1.18974,2.24639,1.69674,1.29927
-517.076,0.967096,0.0489875,4,15,0,526.923,0.85759,0.802679,0.647519,0.821643,0.517004,0.80951,0.772697,1.16603,1.20061,1.12468,1.2863,1.26231,1.20046,1.68331,1.13166
-519.87,0.917796,0.0489875,4,15,0,522.676,0.858897,0.774542,0.715438,0.785418,0.466011,0.708642,0.69022,1.15104,1.241,1.14971,1.42293,1.19159,1.20169,1.88558,1.0933
-521.186,0.950366,0.0489875,4,15,0,535.824,0.478648,0.519517,0.557825,0.588892,0.798742,0.71635,0.782534,1.67459,0.634927,1.27323,1.17394,1.77569,1.93119,0.818935,0.822608
-518.409,0.980346,0.0489875,4,15,0,525.496,0.650858,0.56938,0.749653,0.813185,0.419292,0.840232,0.893049,0.872736,1.299,1.06578,1.57475,1.19507,1.2909,1.76136,1.21603
-521.894,0.914298,0.0489875,4,15,0,529.33,0.782116,0.676167,0.355454,0.464687,1.0516,0.890948,1.03093,0.937429,0.67336,1.66711,1.4693,1.65004,1.07791,0.732311,1.0208
-518.814,0.998953,0.0489875,4,31,0,526.764,1.02707,0.674614,0.58784,0.510066,0.815328,0.868702,0.824182,1.2732,0.781444,1.5269,1.53314,1.04242,1.41448,1.11454,1.53803
-519.277,0.986953,0.0489875,5,31,0,526.151,0.762944,0.632993,0.499716,0.463607,0.825407,1.09624,1.01133,0.840685,0.822895,1.34482,1.4595,2.01464,0.80189,1.33422,1.22315
-515.766,0.982792,0.0489875,4,15,0,523.391,0.951552,0.531934,0.591386,0.709536,0.683016,0.682728,1.23436,0.959271,0.887986,1.39909,1.23458,1.35231,1.55165,1.09408,0.867965
-520.661,0.795808,0.0489875,4,15,0,525.072,0.698129,0.643112,0.461394,0.650562,0.493025,1.20028,0.848842,0.926327,0.776311,0.953731,1.80855,2.10634,1.01451,1.07195,0.914418
-518.732,0.841613,0.0489875,4,15,0,534.393,0.743371,0.587252,0.664329,0.466336,0.94963,0.62302,1.08784,0.870988,0.76962,1.8369,1.10139,1.43402,1.40246,1.10334,1.41265
-518.303,0.981022,0.0489875,4,31,0,526.736,0.68731,0.482576,0.490366,0.862843,0.602252,0.879851,1.05738,0.774027,1.12279,0.971473,1.43845,2.2474,0.888013,1.35852,1.11349
-520.811,0.900417,0.0489875,4,15,0,525.539,0.616266,0.478738,0.571079,0.597052,0.595846,0.886029,1.46312,0.702557,0.896214,1.1548,1.09713,2.79815,0.996334,1.13175,1.00196
-521.703,0.983123,0.0489875,5,31,0,529.079,0.624932,0.320395,0.674193,0.850095,0.8512,1.14784,0.569772,0.955978,1.09531,1.26776,1.70997,1.20127,1.04847,1.46533,1.03793
-519.554,0.942024,0.0489875,4,15,0,527.489,0.557934,0.598895,0.673278,0.487603,0.658387,0.612543,1.35613,1.08538,0.925319,1.48317,1.00972,1.56522,1.34283,1.12862,0.771986
