# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-06-14 03:19:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./model_kmer_sim/input_trivial_v22.json
# init = ./model_kmer_sim/init.json
# random
#   seed = 263317418 (Default)
# output
#   file = ./model_kmer_sim/output_trivial_v22.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,SEG.1,SEG.2,SEG.3,SEG.4,SEG.5,SEG.6,SEG.7,SEG.8,SEG.9,SEG.10,SEG.11,SEG.12,SEG.13,SEG.14,SEG.15
# Adaptation terminated
# Step size = 0.0275554
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-3744.08,1,0.0275554,6,63,0,3748.72,0.578442,0.324512,0.43476,0.552494,0.494604,0.519383,0.421965,0.381986,0.545837,0.502125,0.614747,0.448222,0.356308,0.498335,0.796287
-3743.01,0.999545,0.0275554,4,31,0,3751.85,0.504178,0.589046,0.600235,0.405177,0.356505,0.490348,0.398491,0.74969,0.493392,0.357231,0.420921,0.403243,0.859467,0.573463,1.13559
-3744.31,0.947066,0.0275554,5,31,0,3750.72,0.622611,0.552778,0.352125,0.485658,0.438007,0.587158,0.461605,0.34641,0.615468,0.405865,0.540233,0.505889,0.343779,0.900074,0.931552
-3739.84,0.999076,0.0275554,5,31,0,3750.11,0.522191,0.441844,0.579534,0.512389,0.328167,0.448681,0.59203,0.525132,0.498577,0.345652,0.479612,0.606541,0.458628,0.501798,1.27781
-3741.43,0.960662,0.0275554,5,31,0,3745.86,0.502462,0.48558,0.552067,0.423773,0.441675,0.419877,0.529259,0.491706,0.489692,0.40183,0.573072,0.379477,0.608933,0.482213,0.576575
-3743.98,0.831717,0.0275554,5,31,0,3750.14,0.471806,0.569129,0.645217,0.28187,0.489006,0.511128,0.472954,0.691955,0.340177,0.417432,0.448773,0.575856,0.542896,0.439669,0.956032
-3741.69,0.731617,0.0275554,5,31,0,3756.1,0.572661,0.425504,0.405604,0.737294,0.308713,0.462885,0.472944,0.47384,0.675956,0.351616,0.437366,0.475255,0.520375,0.699169,1.53071
-3739.84,0.477433,0.0275554,5,31,0,3754.05,0.515263,0.499137,0.516437,0.500036,0.371411,0.468334,0.440301,0.585128,0.556993,0.378622,0.554415,0.418388,0.534223,0.588681,0.736188
-3740.73,0.886963,0.0275554,5,31,0,3748.72,0.618309,0.436233,0.455216,0.514119,0.392019,0.52285,0.439531,0.390613,0.650898,0.364593,0.599831,0.457387,0.376536,0.790721,0.959857
-3741.42,0.998001,0.0275554,5,31,0,3747.68,0.557184,0.555166,0.366703,0.43673,0.446772,0.521764,0.554064,0.466146,0.39185,0.511661,0.467548,0.584258,0.499677,0.398015,1.33812
-3739.35,0.940909,0.0275554,5,31,0,3746.96,0.520443,0.525686,0.612216,0.435222,0.380241,0.468882,0.516421,0.612874,0.470096,0.336022,0.437027,0.571083,0.572532,0.581487,0.708464
-3744.93,0.679728,0.0275554,4,15,0,3748.62,0.469633,0.52508,0.633839,0.394559,0.404466,0.410694,0.486342,0.507744,0.56485,0.31574,0.539597,0.44325,0.583731,0.564936,0.570872
-3741.04,0.863004,0.0275554,5,63,0,3752.76,0.57093,0.628204,0.492404,0.567828,0.229906,0.516999,0.633575,0.530005,0.540003,0.271377,0.461609,0.759946,0.553769,0.516974,0.995721
-3738.65,0.989735,0.0275554,5,31,0,3744.1,0.55262,0.575836,0.624584,0.364319,0.338035,0.506556,0.507641,0.596152,0.479493,0.332813,0.540958,0.477281,0.574591,0.595714,1.28899
-3741.65,0.978595,0.0275554,5,31,0,3743.91,0.686051,0.397747,0.492032,0.500705,0.390214,0.512562,0.408602,0.535181,0.512483,0.433182,0.536575,0.445983,0.525315,0.409857,1.46098
-3740.56,0.955815,0.0275554,6,63,0,3749.76,0.474358,0.554831,0.428979,0.710991,0.302558,0.419882,0.626141,0.458867,0.578792,0.363318,0.410179,0.602673,0.496285,0.688933,0.925231
