# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-06-14 03:23:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./model_kmer_sim/input_trivial_v42.json
# init = ./model_kmer_sim/init.json
# random
#   seed = 263513190 (Default)
# output
#   file = ./model_kmer_sim/output_trivial_v42.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,SEG.1,SEG.2,SEG.3,SEG.4,SEG.5,SEG.6,SEG.7,SEG.8,SEG.9,SEG.10,SEG.11,SEG.12,SEG.13,SEG.14,SEG.15
# Adaptation terminated
# Step size = 0.02849
# Diagonal elements of inverse mass matrix:
# 0.0234483, 0.0261493, 0.0215113, 0.0275064, 0.0336947, 0.0223637, 0.0258244, 0.0211937, 0.02628, 0.0327173, 0.0223727, 0.0261245, 0.021266, 0.0264017, 0.0764397
-53704.8,0.691787,0.02849,7,255,0,53715.9,0.95015,1.09442,1.06188,0.904982,1.00896,0.961729,1.05117,1.10577,0.916923,1.0488,0.936451,1.0703,1.07313,0.95825,0.79977
-53705.8,0.993164,0.02849,7,191,0,53710.1,1.02292,1.17527,0.771956,1.02327,1.04249,1.01671,1.19743,0.806163,0.97831,1.12538,0.974811,1.22205,0.786792,1.00616,0.831155
-53706,0.959549,0.02849,7,191,0,53714.6,0.966361,1.03105,0.86256,0.942653,1.19321,1.00124,1.04721,0.85956,0.942367,1.22397,1.05823,1.03072,0.82406,0.94895,0.889614
-53704.7,0.951979,0.02849,8,255,0,53711.1,1.04828,0.977986,1.19678,1.03133,0.796759,1.0236,0.996405,1.19938,1.0616,0.798519,1.05474,0.95884,1.18557,1.11741,0.984579
-53707.3,0.993944,0.02849,7,127,0,53713.1,0.99093,1.03414,1.53615,0.762048,0.822971,1.01023,1.03539,1.55848,0.763167,0.814364,1.04186,1.0592,1.49913,0.784946,0.893545
-53705.8,0.944597,0.02849,7,127,0,53711.2,1.00993,0.954011,1.33691,0.881424,0.844319,1.05074,0.955911,1.30476,0.947412,0.839012,1.04013,0.964243,1.33562,0.930937,1.18869
-53707.8,0.957961,0.02849,8,255,0,53713,1.29571,0.953134,1.06948,0.845893,0.896366,1.23483,1.00076,1.06225,0.876116,0.900019,1.27903,0.971347,1.01769,0.941374,0.756684
-53707.3,0.93091,0.02849,8,255,0,53715.6,0.962529,1.29004,0.925926,0.973684,0.876297,0.987434,1.30714,0.966574,0.937724,0.887131,0.966843,1.38112,0.938058,0.944273,1.27343
-53708.7,0.96659,0.02849,8,255,0,53712.5,1.15099,0.970925,0.89983,0.857896,1.13912,1.1652,0.999892,0.889194,0.85864,1.20864,1.10872,1.04184,0.838946,0.863884,0.757098
-53708.7,0.780121,0.02849,8,255,0,53718.2,1.23956,0.881221,1.10894,0.72244,1.14237,1.1803,0.941393,1.06607,0.74858,1.20542,1.12527,0.956329,1.08648,0.763065,1.56047
-53707.1,0.927513,0.02849,7,127,0,53712.3,1.10618,0.999343,0.984511,0.850134,1.0524,1.11466,1.03542,0.972286,0.837347,1.13477,1.05362,1.09377,0.927162,0.84702,1.06856
-53708.1,0.95784,0.02849,5,47,0,53714.7,1.11906,0.984281,0.904257,0.827356,1.23161,1.0741,0.975912,0.950832,0.849818,1.17188,1.11378,0.993439,0.983634,0.846467,1.00401
-53711.3,0.871423,0.02849,8,255,0,53718.4,0.932799,1.07948,0.993008,1.16887,0.847854,0.877109,1.1087,1.04796,1.19871,0.838527,0.950038,1.03792,1.06264,1.21735,1.23493
